     2  0.149543775108E-09  0.511036047767E-14  0.381301130198E-12  0.138784566963E-06  0.430327390757E-08
     3  0.139869239161E-09  0.691630085893E-14  0.443638342224E-12  0.213894752684E-06  0.510249111948E-08
     4  0.131129284313E-09  0.638368637194E-14  0.427885374132E-12  0.280827295936E-06  0.547109340851E-08
     5  0.124602179741E-09  0.458601727676E-14  0.373290862682E-12  0.340036147837E-06  0.561007114266E-08
     6  0.120051519309E-09  0.274921937463E-14  0.307064288847E-12  0.392353070638E-06  0.562103060135E-08
     7  0.117039918432E-09  0.150692453422E-14  0.244832967657E-12  0.438785937195E-06  0.555934618490E-08
     8  0.115126326902E-09  0.891758474740E-15  0.194084477556E-12  0.480161713318E-06  0.545687542064E-08
     9  0.114067188498E-09  0.655920125574E-15  0.157409822093E-12  0.517198600829E-06  0.533221885418E-08
    10  0.113651416410E-09  0.559675997243E-15  0.134555121727E-12  0.550382743010E-06  0.519626083048E-08
    11  0.113706058939E-09  0.485691122878E-15  0.123384780035E-12  0.580321010954E-06  0.505805881402E-08
    12  0.114190044231E-09  0.417208996138E-15  0.120980027817E-12  0.607143105447E-06  0.491760506841E-08
    13  0.114931845720E-09  0.371979374618E-15  0.124246031916E-12  0.631481765121E-06  0.478173547868E-08
    14  0.115896081435E-09  0.359372188456E-15  0.130658025979E-12  0.653353420549E-06  0.464621790511E-08
    15  0.117036126613E-09  0.373635345884E-15  0.138454247299E-12  0.673219176367E-06  0.451398811749E-08
    16  0.118376434812E-09  0.405192803282E-15  0.146662557634E-12  0.691201143496E-06  0.438288277178E-08
    17  0.119835410541E-09  0.450134892908E-15  0.154746028246E-12  0.707348338222E-06  0.425492637728E-08
    18  0.121359764168E-09  0.510756982824E-15  0.162656005623E-12  0.722029922543E-06  0.413104789257E-08
    19  0.123095097930E-09  0.591866304292E-15  0.170853323592E-12  0.735304306273E-06  0.401250145403E-08
    20  0.124877198218E-09  0.695069903497E-15  0.179300872509E-12  0.747218317310E-06  0.389676332897E-08
    21  0.126726064741E-09  0.820679718669E-15  0.187943319188E-12  0.757942558711E-06  0.378550312087E-08
    22  0.128634440857E-09  0.968298714435E-15  0.196858052774E-12  0.767621202908E-06  0.367891529236E-08
    23  0.130600550620E-09  0.113731122784E-14  0.206120958214E-12  0.776307639398E-06  0.357710705476E-08
    24  0.132626533509E-09  0.132670554691E-14  0.215407244353E-12  0.784012356496E-06  0.348009283801E-08
    25  0.134703602360E-09  0.153635757845E-14  0.224364235033E-12  0.790907289948E-06  0.338670337092E-08
    26  0.136827555877E-09  0.176671583474E-14  0.232706363749E-12  0.797023910480E-06  0.329609641822E-08
    27  0.138998978543E-09  0.201876441062E-14  0.240110830247E-12  0.802390655250E-06  0.320889263747E-08
    28  0.141202407057E-09  0.229382641596E-14  0.246331215374E-12  0.807102614107E-06  0.312556732369E-08
    29  0.143463105956E-09  0.259347544520E-14  0.251345160814E-12  0.811168242833E-06  0.304568929231E-08
    30  0.145752624047E-09  0.291912576666E-14  0.255432655108E-12  0.814678800682E-06  0.296786570099E-08
    31  0.148071802396E-09  0.327169153887E-14  0.258563601959E-12  0.817599607080E-06  0.289232770408E-08
    32  0.150431999954E-09  0.365228195069E-14  0.260576183060E-12  0.820054013850E-06  0.282003251462E-08
    33  0.152826145732E-09  0.406263198891E-14  0.261274412550E-12  0.822046707644E-06  0.275128576238E-08
    34  0.155252005135E-09  0.450385563260E-14  0.260979103226E-12  0.823593579691E-06  0.268478139100E-08
    35  0.157705473957E-09  0.497685651578E-14  0.259675361610E-12  0.824721852472E-06  0.262024858950E-08
    36  0.160181888581E-09  0.548196072771E-14  0.257200863615E-12  0.825487165614E-06  0.255795166618E-08
    37  0.162698284974E-09  0.601974905411E-14  0.253330694412E-12  0.825904362886E-06  0.249832738767E-08
    38  0.165243074347E-09  0.659165002023E-14  0.248067207331E-12  0.825984980924E-06  0.244085963822E-08
    39  0.167816073210E-09  0.719766494443E-14  0.241381205654E-12  0.825752865070E-06  0.238532368123E-08
    40  0.170403463519E-09  0.783818416950E-14  0.233210846911E-12  0.825234459334E-06  0.233164378360E-08
    41  0.173037809950E-09  0.851430483618E-14  0.223470764222E-12  0.824453848649E-06  0.227974802554E-08
    42  0.175687208073E-09  0.922725127684E-14  0.212091493064E-12  0.823425681639E-06  0.222957974047E-08
    43  0.178366136179E-09  0.997825462174E-14  0.199010044506E-12  0.822162247847E-06  0.218108607513E-08
    44  0.181049814803E-09  0.107665736849E-13  0.184290847998E-12  0.820676578527E-06  0.213421043419E-08
    45  0.183786433446E-09  0.115929780153E-13  0.168038006512E-12  0.818984671764E-06  0.208888125416E-08
    46  0.186564923850E-09  0.124577648457E-13  0.150043041402E-12  0.817103267350E-06  0.204502322946E-08
    47  0.189363535234E-09  0.133592334993E-13  0.130173874692E-12  0.815047720551E-06  0.200256294767E-08
    48  0.192167786707E-09  0.143028916619E-13  0.108774031092E-12  0.812827848528E-06  0.196143456878E-08
    49  0.194982514854E-09  0.152930491097E-13  0.861334359814E-13  0.810452083910E-06  0.192157414593E-08
    50  0.197836044550E-09  0.163288813832E-13  0.616845636861E-13  0.807929364820E-06  0.188293015131E-08
    51  0.200710653844E-09  0.173940270783E-13  0.350130843113E-13  0.805270651345E-06  0.184550073346E-08
    52  0.203652109076E-09  0.184889905553E-13  0.624221690724E-14  0.802487409063E-06  0.180929645998E-08
    53  0.206620833439E-09  0.196271077725E-13 -0.243870673958E-13  0.799590114211E-06  0.177430318469E-08
