0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.131431871058038059e-14
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.131431871058038059e-14
2.000000000000000000e+00 8.737520038970586722e-08 8.320833555125074998e-09 3.413716622362018699e-09 2.131431871058038059e-14
3.000000000000000000e+00 1.063031271635110613e-07 5.889795463799381288e-09 1.482509048168685805e-09 2.131431871058038059e-14
4.000000000000000000e+00 1.224978711746995640e-07 4.556332148478163433e-09 7.814518655903673439e-10 2.131431871058038059e-14
5.000000000000000000e+00 1.365431539797307762e-07 3.699399320756037843e-09 4.617047367001023151e-10 2.131431871058038059e-14
6.000000000000000000e+00 1.487792840078190765e-07 3.099566578121691561e-09 2.944473350214095229e-10 2.131431871058038059e-14
7.000000000000000000e+00 1.595309018404686661e-07 2.657396776960979036e-09 1.987850556477643245e-10 2.131431871058038059e-14
8.000000000000000000e+00 1.690314480936251561e-07 2.318603053500050129e-09 1.403100032295316209e-10 2.131431871058038059e-14
9.000000000000000000e+00 1.774759357752560334e-07 2.050833532752044216e-09 1.025561462138668146e-10 2.131431871058038059e-14
1.000000000000000000e+01 1.849841311946721092e-07 1.833343390047609212e-09 7.704251820457561352e-11 2.131431871058038059e-14
1.100000000000000000e+01 1.917220154412241500e-07 1.653534537233473696e-09 5.920571876071154986e-11 2.131431871058038059e-14
1.200000000000000000e+01 1.976983849208402661e-07 1.501824343185883842e-09 4.636967782224710529e-11 2.131431871058038059e-14
1.300000000000000000e+01 2.030909935149153550e-07 1.372871498498545694e-09 3.693013281378727952e-11 2.131431871058038059e-14
1.400000000000000000e+01 2.078807020843018124e-07 1.261578190329646676e-09 2.983669552874996689e-11 2.131431871058038059e-14
1.500000000000000000e+01 2.121968504348613576e-07 1.165042515731889692e-09 2.441736050137133253e-11 2.131431871058038059e-14
1.600000000000000000e+01 2.160481247694746698e-07 1.080413855489677174e-09 2.020800187182301070e-11 2.131431871058038059e-14
1.700000000000000000e+01 2.194820144129397625e-07 1.005692353214830412e-09 1.689325574434656930e-11 2.131431871058038059e-14
1.800000000000000000e+01 2.225587462312130017e-07 9.393815439091796309e-10 1.425100748086523403e-11 2.131431871058038059e-14
1.900000000000000000e+01 2.252965799500473908e-07 8.801302987057424785e-10 1.212079482733737659e-11 2.131431871058038059e-14
2.000000000000000000e+01 2.277093117454649164e-07 8.268400595663753473e-10 1.038501648108214161e-11 2.131431871058038059e-14
2.100000000000000000e+01 2.298348507347651671e-07 7.787202958227431465e-10 8.958108398578025606e-12 2.131431871058038059e-14
2.200000000000000000e+01 2.317114594190865709e-07 7.351286621135080391e-10 7.775577316270745168e-12 2.131431871058038059e-14
2.300000000000000000e+01 2.333547008936444931e-07 6.954662854753726051e-10 6.787992858091339052e-12 2.131431871058038059e-14
2.400000000000000000e+01 2.347764207298573729e-07 6.592240714405891748e-10 5.957112837651113812e-12 2.131431871058038059e-14
2.500000000000000000e+01 2.359962938098802510e-07 6.260025536801886825e-10 5.253577997248199084e-12 2.131431871058038059e-14
2.600000000000000000e+01 2.370347871418738095e-07 5.954673451481630132e-10 4.654283711506256754e-12 2.131431871058038059e-14
2.700000000000000000e+01 2.379077069272857266e-07 5.673234270082389317e-10 4.140960737636591207e-12 2.131431871058038059e-14
2.800000000000000000e+01 2.386268848974366877e-07 5.413101033033802035e-10 3.698920493849329364e-12 2.131431871058038059e-14
2.900000000000000000e+01 2.391929157098516726e-07 5.171832358648370836e-10 3.316287381028872268e-12 2.131431871058038059e-14
3.000000000000000000e+01 2.396079172545841968e-07 4.947354989810132664e-10 2.983435566719262836e-12 2.131431871058038059e-14
3.100000000000000000e+01 2.398913374255977316e-07 4.738220213308293046e-10 2.692748542104163803e-12 2.131431871058038059e-14
3.200000000000000000e+01 2.400635753643417908e-07 4.543186187230296343e-10 2.437955034197008650e-12 2.131431871058038059e-14
3.300000000000000000e+01 2.401315051982999158e-07 4.360930312505973537e-10 2.213766999837119789e-12 2.131431871058038059e-14
3.400000000000000000e+01 2.400993297234879911e-07 4.190243348977511633e-10 2.015756680830865593e-12 2.131431871058038059e-14
3.500000000000000000e+01 2.399740914240185669e-07 4.030112850947587330e-10 1.840276807576228091e-12 2.131431871058038059e-14
3.600000000000000000e+01 2.397632650926611786e-07 3.879650649988142819e-10 1.684262391791085760e-12 2.131431871058038059e-14
3.700000000000000000e+01 2.394732150687192292e-07 3.738057785634066273e-10 1.545134386015896828e-12 2.131431871058038059e-14
3.800000000000000000e+01 2.391095888072673604e-07 3.604613160628146728e-10 1.420699276711175144e-12 2.131431871058038059e-14
3.900000000000000000e+01 2.386762766799321481e-07 3.478653825203253431e-10 1.309096270219456483e-12 2.131431871058038059e-14
4.000000000000000000e+01 2.381767297874782184e-07 3.359578695476263167e-10 1.208725832115399201e-12 2.131431871058038059e-14
4.100000000000000000e+01 2.376145325725213715e-07 3.246849996572495976e-10 1.118214012641843332e-12 2.131431871058038059e-14
4.200000000000000000e+01 2.369938028450830055e-07 3.140001495830326230e-10 1.036407258088781158e-12 2.131431871058038059e-14
4.300000000000000000e+01 2.363187917570357723e-07 3.038614953570253841e-10 9.623086288019811749e-13 2.131431871058038059e-14
4.400000000000000000e+01 2.355937504602523768e-07 2.942309735767699714e-10 8.950456608743044688e-13 2.131431871058038059e-14
4.500000000000000000e+01 2.348229301066054445e-07 2.850738680123204038e-10 8.338529384678761442e-13 2.131431871058038059e-14
