 0.1000000E+03  0.8052589E+00  0.0000000E+00
 0.3000000E+03  0.2499516E+01  0.0000000E+00
 0.5000000E+03  0.3346932E+01  0.0000000E+00
 0.7000000E+03  0.3908686E+01  0.0000000E+00
 0.9000000E+03  0.4279378E+01  0.0000000E+00
 0.1100000E+04  0.4551594E+01  0.0000000E+00
 0.1300000E+04  0.4749621E+01  0.0000000E+00
 0.1500000E+04  0.4897937E+01  0.0000000E+00
 0.1700000E+04  0.5009056E+01  0.0000000E+00
 0.1900000E+04  0.5095381E+01  0.0000000E+00
 0.2100000E+04  0.5165480E+01  0.0000000E+00
 0.2300000E+04  0.5223141E+01  0.0000000E+00
 0.2500000E+04  0.5269255E+01  0.0000000E+00
 0.2700000E+04  0.5304349E+01  0.0000000E+00
 0.2900000E+04  0.5329567E+01  0.0000000E+00
