 0.1000000E+03  0.2781515E+01  0.0000000E+00
 0.3000000E+03  0.1507888E+02  0.0000000E+00
 0.5000000E+03  0.3208974E+02  0.0000000E+00
 0.7000000E+03  0.5196168E+02  0.0000000E+00
 0.9000000E+03  0.7509175E+02  0.0000000E+00
 0.1100000E+04  0.1002800E+03  0.0000000E+00
 0.1300000E+04  0.1268891E+03  0.0000000E+00
 0.1500000E+04  0.1539187E+03  0.0000000E+00
 0.1700000E+04  0.1808486E+03  0.0000000E+00
 0.1900000E+04  0.2073567E+03  0.0000000E+00
 0.2100000E+04  0.2332305E+03  0.0000000E+00
 0.2300000E+04  0.2583579E+03  0.0000000E+00
 0.2500000E+04  0.2826396E+03  0.0000000E+00
 0.2700000E+04  0.3059312E+03  0.0000000E+00
 0.2900000E+04  0.3281044E+03  0.0000000E+00
