1.000000000000000000e+02 5.683218234296230254e-11 3.929025258440788245e-05 1.142995703873215738e-02
1.360000000000000000e+02 3.951515367911685631e-11 2.737380557211474910e-05 6.456661212008947548e-03
1.730000000000000000e+02 3.000671819158531839e-11 2.090478732947966315e-05 3.694358177907313464e-03
2.100000000000000000e+02 2.464011175389297036e-11 1.718098959805840385e-05 2.225329309890543630e-03
2.470000000000000000e+02 2.111492084715241857e-11 1.479541701517007430e-05 1.357898281041152334e-03
2.840000000000000000e+02 1.848514117466345664e-11 1.317531771080248575e-05 1.166726714620263446e-03
3.210000000000000000e+02 1.645607273568978848e-11 1.204285079898159595e-05 1.052757774231756916e-03
3.580000000000000000e+02 1.481765395592330287e-11 1.121683359739232165e-05 9.144139367875353357e-04
3.950000000000000000e+02 1.344660416342354075e-11 1.059021331759172512e-05 7.275438600837559350e-04
4.320000000000000000e+02 1.227500022564757925e-11 1.010308715269995316e-05 6.008328562011508141e-04
4.690000000000000000e+02 1.125536554175542479e-11 9.714450149512036733e-06 5.496282045086189460e-04
5.060000000000000000e+02 1.035142674014498451e-11 9.392785149343909254e-06 4.467014701092035501e-04
5.430000000000000000e+02 9.539036717299157556e-12 9.117001901735722792e-06 4.396676156222268381e-04
5.800000000000000000e+02 8.803773334906092932e-12 8.876194465853977312e-06 3.480447302269008012e-04
6.170000000000000000e+02 8.133067293336144385e-12 8.659910356503953860e-06 3.259488727849414909e-04
6.540000000000000000e+02 7.516172912362997339e-12 8.458381003785891568e-06 2.307975298048190274e-04
6.910000000000000000e+02 6.944330320879176365e-12 8.262969000480215707e-06 2.370237266163834056e-04
7.280000000000000000e+02 6.410344157937799944e-12 8.065961744381604091e-06 2.326937772461854523e-04
7.650000000000000000e+02 5.907712276142349126e-12 7.859470814375381386e-06 1.640176906576505081e-04
8.020000000000000000e+02 5.430279128927545294e-12 7.634904653882484022e-06 1.299440726287529480e-04
8.390000000000000000e+02 4.971971031923671822e-12 7.382433566879248823e-06 7.844903968489826498e-05
8.760000000000000000e+02 4.526161504665584038e-12 7.089711545943481116e-06 8.840202894540625080e-05
9.130000000000000000e+02 4.083963012859312254e-12 6.738161415607112166e-06 8.851040319270642653e-05
9.500000000000000000e+02 3.691020437001538467e-12 6.414483911509002356e-06 9.515772754978368104e-05
9.870000000000000000e+02 3.384450280568013964e-12 6.206239899879769894e-06 1.037995973717056365e-04
1.024000000000000000e+03 3.113165246023382354e-12 6.024568593563463031e-06 2.356475601479743527e-04
