1.000000000000000000e+02 7.469596183530537369e-11 1.819283363239445890e-04 1.112304836292486027e-02
1.760000000000000000e+02 3.765507422355636125e-11 8.890357122579959791e-05 3.675916482813337046e-03
2.520000000000000000e+02 2.601623821633496644e-11 5.940339590555022601e-05 1.170131777096982935e-03
3.280000000000000000e+02 2.031649686320847769e-11 4.587006600771853705e-05 8.145015293840737140e-04
4.040000000000000000e+02 1.683834749681197101e-11 3.830181814594667945e-05 5.414713126644390105e-04
4.800000000000000000e+02 1.443384177286309605e-11 3.353321306858186060e-05 4.374221094402791325e-04
5.560000000000000000e+02 1.262994107987542193e-11 3.028405484922931838e-05 3.779236493882373637e-04
6.320000000000000000e+02 1.120042791662298177e-11 2.794913006187180811e-05 2.672962754919481934e-04
7.080000000000000000e+02 1.002261104328319290e-11 2.620132218218400644e-05 2.404032161801493114e-04
7.840000000000000000e+02 9.025478616864413763e-12 2.485022791510658495e-05 1.482315476989391236e-04
8.600000000000000000e+02 8.163955135777620841e-12 2.377378032090789300e-05 9.578263498289886133e-05
9.360000000000000000e+02 7.407628389471946770e-12 2.288839206430768399e-05 1.272803892052173317e-04
1.012000000000000000e+03 6.735692589592904505e-12 2.213589946725779699e-05 1.076682275502676637e-04
1.088000000000000000e+03 6.132710075169978013e-12 2.147237648690067646e-05 1.584687249026640334e-04
1.164000000000000000e+03 5.587234337516790285e-12 2.086467673096071703e-05 1.421946287369892309e-04
1.240000000000000000e+03 5.090405053693882347e-12 2.028662273051559653e-05 1.827002138904227030e-04
1.316000000000000000e+03 4.635084141736588111e-12 1.971663534752759547e-05 8.792856976488242578e-05
1.392000000000000000e+03 4.215519999990034851e-12 1.913675926890419618e-05 2.808539739176047552e-05
1.468000000000000000e+03 3.826965975071957744e-12 1.853146932049576842e-05 1.845680547755121549e-05
1.544000000000000000e+03 3.465160484553314095e-12 1.788563908426024941e-05 3.278224335245130155e-06
1.620000000000000000e+03 3.126223725553009934e-12 1.718361263485962916e-05 -3.074761084617328761e-05
1.696000000000000000e+03 2.806196507394803125e-12 1.640620091654277371e-05 5.092413560375559798e-06
1.772000000000000000e+03 2.500315074336357172e-12 1.552492527831120733e-05 3.487075131128615063e-05
1.848000000000000000e+03 2.201147702944141435e-12 1.448606879633742827e-05 8.010336500078190671e-05
1.924000000000000000e+03 1.905780297298441201e-12 1.326092523812089259e-05 -1.240754016828620928e-05
2.000000000000000000e+03 1.671265669191140439e-12 1.230833790116951979e-05 -2.005334086045270980e-05
