2.000000000000000000e+02 7.371099190974435949e-12 1.643151989896911338e-05 3.980613316561171840e-04
2.720000000000000000e+02 5.759863760174130289e-12 1.299769635732256995e-05 1.921737566043309360e-04
3.440000000000000000e+02 4.793501730173296510e-12 1.103925429429019510e-05 1.154069688002431256e-04
4.160000000000000000e+02 4.147004200363423096e-12 9.747896409927191361e-06 8.863269535427319948e-05
4.880000000000000000e+02 3.663458617614012057e-12 8.822350715661916924e-06 8.098471089060233462e-05
5.600000000000000000e+02 3.258392428220733939e-12 8.115266873542991788e-06 6.518267606075783208e-05
6.320000000000000000e+02 2.912157207333151598e-12 7.552600061239080577e-06 4.822179252589174652e-05
7.040000000000000000e+02 2.611951278883962671e-12 7.090063940364101506e-06 4.410778283620484620e-05
7.760000000000000000e+02 2.348873471131832293e-12 6.699036555215288122e-06 2.733508813951861761e-05
8.480000000000000000e+02 2.116409815200398721e-12 6.359933302315179876e-06 9.416151502754463459e-06
9.200000000000000000e+02 1.909600913472890399e-12 6.058749741382236349e-06 1.299273518141518819e-05
9.920000000000000000e+02 1.724560071561603779e-12 5.785137239738921027e-06 2.288915573969480907e-05
1.064000000000000000e+03 1.558295314039339554e-12 5.532030420353421487e-06 3.900303381425379817e-05
1.136000000000000000e+03 1.408611587082236532e-12 5.295749523065203048e-06 2.863692013921354261e-05
1.208000000000000000e+03 1.273453894262265943e-12 5.072278794381272890e-06 3.179863815910589773e-05
1.280000000000000000e+03 1.151008977063000942e-12 4.857908168909408123e-06 5.902991012302969526e-05
1.352000000000000000e+03 1.039707088411711115e-12 4.649391985233626032e-06 -6.203348989397067138e-06
1.424000000000000000e+03 9.381930779028314485e-13 4.443907676215042422e-06 -1.039652686513332537e-05
1.496000000000000000e+03 8.452871822747143261e-13 4.238942199010819636e-06 -2.077435225892864873e-05
1.568000000000000000e+03 7.599546467176156252e-13 4.032193441209613912e-06 -1.475244845288223436e-05
1.640000000000000000e+03 6.812691514152959288e-13 3.821409259452275972e-06 -1.167508780193721013e-05
1.712000000000000000e+03 6.083660184152842587e-13 3.604113031620159283e-06 -6.633981259322142112e-06
1.784000000000000000e+03 5.403681506053855316e-13 3.377057864991260073e-06 2.478240086252605325e-06
1.856000000000000000e+03 4.813899784354838576e-13 3.174003686902215499e-06 2.221686931523773718e-05
1.928000000000000000e+03 4.322711339432362907e-13 3.009363733274385296e-06 -4.264904877865407881e-06
2.000000000000000000e+03 3.887407522799459431e-13 2.856955917703985169e-06 -5.803472575339011957e-06
