 0.7700000E+02  0.3383551E-14  0.8102109E-14  0.2631066E-13
 0.7800000E+02  0.3221991E-14  0.7704678E-14  0.2499560E-13
 0.7900000E+02  0.3070219E-14  0.7331569E-14  0.2376172E-13
 0.8000000E+02  0.2927525E-14  0.6981011E-14  0.2260309E-13
 0.8100000E+02  0.2793259E-14  0.6651382E-14  0.2151427E-13
 0.8200000E+02  0.2666826E-14  0.6341193E-14  0.2049026E-13
 0.8300000E+02  0.2547679E-14  0.6049080E-14  0.1952649E-13
 0.8400000E+02  0.2435314E-14  0.5773788E-14  0.1861876E-13
 0.8500000E+02  0.2329269E-14  0.5514164E-14  0.1776319E-13
 0.8600000E+02  0.2229118E-14  0.5269143E-14  0.1695623E-13
 0.8700000E+02  0.2134467E-14  0.5037748E-14  0.1619461E-13
 0.8800000E+02  0.2044955E-14  0.4819074E-14  0.1547529E-13
 0.8900000E+02  0.1960246E-14  0.4612289E-14  0.1479549E-13
 0.9000000E+02  0.1880031E-14  0.4416620E-14  0.1415263E-13
 0.9100000E+02  0.1804024E-14  0.4231355E-14  0.1354433E-13
 0.9200000E+02  0.1731959E-14  0.4055834E-14  0.1296838E-13
 0.9300000E+02  0.1663591E-14  0.3889445E-14  0.1242273E-13
 0.9400000E+02  0.1598692E-14  0.3731620E-14  0.1190549E-13
 0.9500000E+02  0.1537049E-14  0.3581835E-14  0.1141491E-13
 0.9600000E+02  0.1478467E-14  0.3439598E-14  0.1094934E-13
 0.9700000E+02  0.1422762E-14  0.3304457E-14  0.1050728E-13
 0.9800000E+02  0.1369764E-14  0.3175987E-14  0.1008732E-13
 0.9900000E+02  0.1319315E-14  0.3053796E-14  0.9688138E-14
 0.1000000E+03  0.1271266E-14  0.2937516E-14  0.9308514E-14
 0.1010000E+03  0.1225481E-14  0.2826806E-14  0.8947309E-14
 0.1020000E+03  0.1181831E-14  0.2721346E-14  0.8603462E-14
 0.1030000E+03  0.1140194E-14  0.2620840E-14  0.8275979E-14
 0.1040000E+03  0.1100461E-14  0.2525007E-14  0.7963935E-14
 0.1050000E+03  0.1062524E-14  0.2433589E-14  0.7666464E-14
 0.1060000E+03  0.1026287E-14  0.2346342E-14  0.7382757E-14
 0.1070000E+03  0.9916568E-15  0.2263038E-14  0.7112055E-14
 0.1080000E+03  0.9585476E-15  0.2183463E-14  0.6853650E-14
 0.1090000E+03  0.9268787E-15  0.2107419E-14  0.6606878E-14
 0.1100000E+03  0.8965741E-15  0.2034716E-14  0.6371114E-14
 0.1110000E+03  0.8675628E-15  0.1965180E-14  0.6145775E-14
 0.1120000E+03  0.8397780E-15  0.1898644E-14  0.5930313E-14
 0.1130000E+03  0.8131567E-15  0.1834954E-14  0.5724212E-14
 0.1140000E+03  0.7876401E-15  0.1773964E-14  0.5526988E-14
 0.1150000E+03  0.7631725E-15  0.1715537E-14  0.5338186E-14
 0.1160000E+03  0.7397015E-15  0.1659543E-14  0.5157378E-14
 0.1170000E+03  0.7171781E-15  0.1605860E-14  0.4984161E-14
 0.1180000E+03  0.6955556E-15  0.1554375E-14  0.4818157E-14
 0.1190000E+03  0.6747905E-15  0.1504980E-14  0.4659007E-14
 0.1200000E+03  0.6548413E-15  0.1457571E-14  0.4506374E-14
 0.1210000E+03  0.6356691E-15  0.1412055E-14  0.4359942E-14
 0.1220000E+03  0.6172371E-15  0.1368339E-14  0.4219410E-14
 0.1230000E+03  0.5995106E-15  0.1326339E-14  0.4084495E-14
 0.1240000E+03  0.5824567E-15  0.1285973E-14  0.3954929E-14
 0.1250000E+03  0.5660444E-15  0.1247165E-14  0.3830462E-14
 0.1260000E+03  0.5502441E-15  0.1209843E-14  0.3710852E-14
 0.1270000E+03  0.5350282E-15  0.1173938E-14  0.3595876E-14
 0.1280000E+03  0.5203703E-15  0.1139386E-14  0.3485319E-14
 0.1290000E+03  0.5062454E-15  0.1106125E-14  0.3378979E-14
 0.1300000E+03  0.4926299E-15  0.1074097E-14  0.3276665E-14
 0.1310000E+03  0.4795013E-15  0.1043248E-14  0.3178195E-14
 0.1320000E+03  0.4668385E-15  0.1013525E-14  0.3083397E-14
 0.1330000E+03  0.4546211E-15  0.9848784E-15  0.2992108E-14
 0.1340000E+03  0.4428301E-15  0.9572615E-15  0.2904174E-14
 0.1350000E+03  0.4314473E-15  0.9306298E-15  0.2819448E-14
 0.1360000E+03  0.4204553E-15  0.9049408E-15  0.2737791E-14
 0.1370000E+03  0.4098378E-15  0.8801545E-15  0.2659070E-14
 0.1380000E+03  0.3995791E-15  0.8562324E-15  0.2583159E-14
 0.1390000E+03  0.3896644E-15  0.8331384E-15  0.2509940E-14
 0.1400000E+03  0.3800795E-15  0.8108379E-15  0.2439298E-14
 0.1410000E+03  0.3708110E-15  0.7892980E-15  0.2371126E-14
 0.1420000E+03  0.3618460E-15  0.7684874E-15  0.2305321E-14
 0.1430000E+03  0.3531724E-15  0.7483763E-15  0.2241785E-14
