1.000000000000000000e+02 5.004840338326363103e+00
2.000000000000000000e+02 1.527396053605862392e+01
3.000000000000000000e+02 2.981431826181783862e+01
4.000000000000000000e+02 4.810281546934508867e+01
5.000000000000000000e+02 6.983392493984099758e+01
6.000000000000000000e+02 9.486358596796321763e+01
7.000000000000000000e+02 1.230690626962105227e+02
8.000000000000000000e+02 1.542948322419695728e+02
9.000000000000000000e+02 1.883851303449399381e+02
1.000000000000000000e+03 2.251683705066175492e+02
1.100000000000000000e+03 2.644650152368570843e+02
1.200000000000000000e+03 3.061107077925844351e+02
1.300000000000000000e+03 3.499445027092666578e+02
1.400000000000000000e+03 3.958090739776075111e+02
1.500000000000000000e+03 4.435622180267383783e+02
1.600000000000000000e+03 4.930749050972765986e+02
1.700000000000000000e+03 5.442197497484643236e+02
1.800000000000000000e+03 5.968903760648364596e+02
1.900000000000000000e+03 6.509865544873536010e+02
2.000000000000000000e+03 7.064165000997643347e+02
