1.000000000000000000e+02 1.234820632643623961e+00 1.437618498984993387e+00 1.306731102558212676e+00 1.519108306225030347e+00
2.000000000000000000e+02 2.898104870778721587e+00 3.405295188804958073e+00 3.421815446834130192e+00 3.959822342666637240e+00
3.000000000000000000e+02 4.711968984929190363e+00 5.443805873337520751e+00 5.974266047754897890e+00 6.817140830829663933e+00
4.000000000000000000e+02 6.558613119725414720e+00 7.457490589165100658e+00 8.677903211002288231e+00 9.728161753787754051e+00
5.000000000000000000e+02 8.313676615268072112e+00 9.302362282834597096e+00 1.138945275836710991e+01 1.252597758596048827e+01
6.000000000000000000e+02 9.910613734057792001e+00 1.091681401484584413e+01 1.399929937692366444e+01 1.518840716033045091e+01
7.000000000000000000e+02 1.134080764491299931e+01 1.234072791743536790e+01 1.640077911912536379e+01 1.755966727375883352e+01
8.000000000000000000e+02 1.261764594177850007e+01 1.359548484959188208e+01 1.855529573875888971e+01 1.965109861504759792e+01
9.000000000000000000e+02 1.372654717203350927e+01 1.466965157498857053e+01 2.044749978290801096e+01 2.146619744231219329e+01
1.000000000000000000e+03 1.465088105601713409e+01 1.555643692954491186e+01 2.206597762918343264e+01 2.299423776701370414e+01
1.100000000000000000e+03 1.541922294556906792e+01 1.628753050975556604e+01 2.344143189045610853e+01 2.428392803759748020e+01
1.200000000000000000e+03 1.606488986145044962e+01 1.690057379189127218e+01 2.460324353126787855e+01 2.536635401083737307e+01
1.300000000000000000e+03 1.660325999443672629e+01 1.741208931671095073e+01 2.557245485122561490e+01 2.626523506915460615e+01
1.400000000000000000e+03 1.705002146856084622e+01 1.783638510019487811e+01 2.638110779012442464e+01 2.701375401513824315e+01
1.500000000000000000e+03 1.742276606920693283e+01 1.819049340206957055e+01 2.706066242405484701e+01 2.764205718193636585e+01
