1.000000000000000000e+02 1.868771666724533098e+00 1.985370428143815147e+00
2.000000000000000000e+02 5.314323092150271322e+00 5.899834381880908474e+00
3.000000000000000000e+02 9.349727542150398918e+00 1.054785138577701353e+01
4.000000000000000000e+02 1.338160852564186243e+01 1.530451635031454494e+01
5.000000000000000000e+02 1.711529252236008958e+01 1.966260626714824866e+01
6.000000000000000000e+02 2.038387160071461679e+01 2.350691090586810006e+01
7.000000000000000000e+02 2.312706971724074734e+01 2.672974972315475739e+01
8.000000000000000000e+02 2.539657523878125289e+01 2.938236976844591553e+01
9.000000000000000000e+02 2.725159580459121855e+01 3.155377432938808013e+01
1.000000000000000000e+03 2.874195856573933483e+01 3.328876560073349822e+01
1.100000000000000000e+03 2.994040731313513959e+01 3.468066716493621726e+01
1.200000000000000000e+03 3.091065218945600890e+01 3.580396299035632524e+01
1.300000000000000000e+03 3.169163935134648113e+01 3.670411315901701954e+01
1.400000000000000000e+03 3.232466098433411616e+01 3.743158103944094961e+01
1.500000000000000000e+03 3.284446519262480280e+01 3.802650184722413940e+01
