1.000000000000000000e+02 2.717948341999985473e+00
2.000000000000000000e+02 4.616846170253228188e+00
3.000000000000000000e+02 5.337529792317028843e+00
4.000000000000000000e+02 5.658330982305706414e+00
5.000000000000000000e+02 5.859692113808543823e+00
6.000000000000000000e+02 5.998098981366698723e+00
7.000000000000000000e+02 6.093752140080255231e+00
8.000000000000000000e+02 6.164306199499856476e+00
9.000000000000000000e+02 6.218044051818819362e+00
1.000000000000000000e+03 6.258309225058442671e+00
1.100000000000000000e+03 6.289177927859539885e+00
1.200000000000000000e+03 6.313481784821100895e+00
1.300000000000000000e+03 6.332450543708975310e+00
1.400000000000000000e+03 6.347477109449537025e+00
1.500000000000000000e+03 6.359675588946515745e+00
1.600000000000000000e+03 6.369413021311569167e+00
1.700000000000000000e+03 6.377111037507442681e+00
1.800000000000000000e+03 6.383305792709117021e+00
1.900000000000000000e+03 6.388253549346117666e+00
2.000000000000000000e+03 6.392171846296081483e+00
