1.000000000000000000e+02 1.234820632643623961e+00 1.233488116959749803e+00 1.306731102558212676e+00 1.309265358178825167e+00
2.000000000000000000e+02 2.898104870778721587e+00 2.997076562945211187e+00 3.421815446834130192e+00 3.706889197724538398e+00
3.000000000000000000e+02 4.711968984929190363e+00 4.769951324514400959e+00 5.974266047754897890e+00 6.253545649873907486e+00
4.000000000000000000e+02 6.558613119725414720e+00 6.402585610056676479e+00 8.677903211002288231e+00 8.513636497115239621e+00
5.000000000000000000e+02 8.313676615268072112e+00 7.868429503056047380e+00 1.138945275836710991e+01 1.046577941312632198e+01
6.000000000000000000e+02 9.910613734057792001e+00 9.145445195989561071e+00 1.399929937692366444e+01 1.218878448612407261e+01
7.000000000000000000e+02 1.134080764491299931e+01 1.025099889820270960e+01 1.640077911912536379e+01 1.366751055995993624e+01
8.000000000000000000e+02 1.261764594177850007e+01 1.118655960044817910e+01 1.855529573875888971e+01 1.492145666080124755e+01
9.000000000000000000e+02 1.372654717203350927e+01 1.195138977867973118e+01 2.044749978290801096e+01 1.598782281194031718e+01
1.000000000000000000e+03 1.465088105601713409e+01 1.256001982261262384e+01 2.206597762918343264e+01 1.688264983574281075e+01
1.100000000000000000e+03 1.541922294556906792e+01 1.305053124050838065e+01 2.344143189045610853e+01 1.763400296283464641e+01
1.200000000000000000e+03 1.606488986145044962e+01 1.345055541557854006e+01 2.460324353126787855e+01 1.826704624265132537e+01
1.300000000000000000e+03 1.660325999443672629e+01 1.377362695940760950e+01 2.557245485122561490e+01 1.879695471843540489e+01
1.400000000000000000e+03 1.705002146856084622e+01 1.403558779351502928e+01 2.638110779012442464e+01 1.924269972608067647e+01
1.500000000000000000e+03 1.742276606920693283e+01 1.425156655972086206e+01 2.706066242405484701e+01 1.962172912344432874e+01
1.600000000000000000e+03 1.773195672869709938e+01 1.442967147478204559e+01 2.762606249054038798e+01 1.994134775354082478e+01
1.700000000000000000e+03 1.798958923796248044e+01 1.457765179130587008e+01 2.809611022386237522e+01 2.021095439178955999e+01
1.800000000000000000e+03 1.820707284356907607e+01 1.470271309788983238e+01 2.849078266897128131e+01 2.044097768560082073e+01
1.900000000000000000e+03 1.838937395446189171e+01 1.480792668085363140e+01 2.882052380131880653e+01 2.063632583728357872e+01
2.000000000000000000e+03 1.854172729853499746e+01 1.489634643575752726e+01 2.909570631971483223e+01 2.080197952047674548e+01
